method,N,h,Einf,Einf_EOC,E2,E2_EOC
standard,32,0.03125,0.0019628017337995217,,0.00048626718601464946,
standard,64,0.015625,0.0007641508299786631,1.3609851167012765,0.0001597584978754061,1.605856566734939
standard,128,0.0078125,0.0002506175518179945,1.608369972783593,4.509105016363703e-05,1.8249796574350532
standard,256,0.00390625,6.973536649258678e-05,1.8455250425354537,1.1199464977485501e-05,2.0094112972267784
standard,512,0.001953125,2.0818015098901282e-05,1.7440579877283904,3.076784496008635e-06,1.8639345101397313
