case,N,h,theta,residual,predicted_leading,difference,scaled_difference_over_h2
severe,32,0.03125,0.8399999999999999,-0.7604626894093003,-0.7599999999999998,-0.0004626894093004985,-0.4737939551237105
severe,64,0.015625,0.6799999999999997,-0.5201170299781688,-0.5199999999999996,-0.00011702997816920302,-0.47935479058105557
severe,128,0.0078125,0.35999999999999943,-0.040029429058274335,-0.03999999999999915,-2.9429058275187714e-05,-0.4821656907806755
severe,256,0.00390625,0.7199999999999989,-0.5800073500600353,-0.5799999999999983,-7.350060037047967e-06,-0.4816935345879756
severe,512,0.001953125,0.4399999999999977,-0.1600018402072214,-0.1599999999999966,-1.8402072248235868e-06,-0.48239928274415433
severe,1024,0.0009765625,0.8799999999999955,-0.8200004599396262,-0.8199999999999932,-4.5993963304624685e-07,-0.48228166066110134
severe,2048,0.00048828125,0.7599999999999909,-0.640000115027112,-0.6399999999999864,-1.1502712560229611e-07,-0.482458733022213
