epsilon,jump_scale,N,dimension,h,theta,standard_crossing_residual_norm,corrected_crossing_residual_norm,standard_Einf,corrected_Einf,Einf_gain_standard_over_corrected,standard_E2,corrected_E2,E2_gain_standard_over_corrected
-0.2,0.8,128,159,0.0078125,0.35999999999999943,0.04638441125400764,0.009176240108411135,0.00025061755181789,5.839811853192014e-05,4.29153469526426,4.509105016418682e-05,1.2660631430391507e-05,3.5615166914935195
-0.1,0.9,128,159,0.0078125,0.35999999999999943,0.04638441125400764,0.0045252187152115715,0.00025061755181789,3.622144134116604e-05,6.919038628456251,4.509105016418682e-05,9.57435955180144e-06,4.7095630700126385
-0.05,0.95,128,159,0.0078125,0.35999999999999943,0.04638441125400764,0.002199708018611794,0.00025061755181789,2.540904648199153e-05,9.863319821761642,4.509105016418682e-05,8.43490584990863e-06,5.345768046086165
-0.01,0.99,128,159,0.0078125,0.35999999999999943,0.04638441125400764,0.0003392994613319671,0.00025061755181789,1.6759130590272123e-05,14.954090277413409,4.509105016418682e-05,7.832667768913652e-06,5.756793406091409
0.0,1.0,128,159,0.0078125,0.35999999999999943,0.04638441125400764,0.00012580267798799016,0.00025061755181789,1.4596651614859996e-05,17.169523424314036,4.509105016418682e-05,7.734393249131037e-06,5.829940204973781
0.01,1.01,128,159,0.0078125,0.35999999999999943,0.04638441125400764,0.0005909048173079475,0.00025061755181789,1.3422256795869008e-05,18.671789374125446,4.509105016418682e-05,7.658900087687894e-06,5.887405456127204
0.05,1.05,128,159,0.0078125,0.35999999999999943,0.04638441125400764,0.002451313374587774,0.00025061755181789,2.177959216071987e-05,11.506990120314837,4.509105016418682e-05,7.595259544610471e-06,5.936735920523352
0.1,1.1,128,159,0.0078125,0.35999999999999943,0.04638441125400764,0.004776824071187558,0.00025061755181789,3.222626136689245e-05,7.776811246102571,4.509105016418682e-05,8.04667773217542e-06,5.603685354998858
0.2,1.2,128,159,0.0078125,0.35999999999999943,0.04638441125400764,0.009427845464387115,0.00025061755181789,5.3119599779097316e-05,4.717986446812587,4.509105016418682e-05,1.0317602027939492e-05,4.37030329742151
