study,method,dimension,N,h,repeats,median_seconds,mean_seconds,min_seconds,max_seconds,Einf_last_run,relative_to_standard_median
pde_benign_timing,standard,159,64,0.015625,5,0.003363099996931851,0.003945919999387116,0.0028566999826580286,0.006022899993695319,0.0007641508300104114,1.0
pde_benign_timing,corrected,159,64,0.015625,5,0.002813099999912083,0.002839760005008429,0.002208299993071705,0.0038252000231295824,0.00023058343684760784,0.8364604092885933
pde_benign_timing,standard,159,128,0.0078125,5,0.004700799996498972,0.004312200006097555,0.0030024999869056046,0.005309700034558773,0.00025061755181789,1.0
pde_benign_timing,corrected,159,128,0.0078125,5,0.003588799969293177,0.0038303199922665953,0.0030266999965533614,0.004777099995408207,1.4596651614859996e-05,0.7634445141180262
pde_benign_timing,standard,159,256,0.00390625,5,0.006095999968238175,0.006710780004505068,0.005391100014094263,0.00852660002419725,6.973536648848359e-05,1.0
pde_benign_timing,corrected,159,256,0.00390625,5,0.006924100045580417,0.00663496000925079,0.0056653000065125525,0.007900099968537688,2.4392603796370232e-05,1.1358431892481742
