method,N,h,Einf,Einf_EOC,E2,E2_EOC
corrected,32,0.03125,0.0011475801464904717,,0.00030422082761584875,
corrected,64,0.015625,0.00023058343682758387,2.3152341235810185,5.685764575212043e-05,2.419692657337593
corrected,128,0.0078125,1.4596651607285326e-05,3.9815795198955657,7.734393249549267e-06,2.877994339847292
corrected,256,0.00390625,2.4392603804313446e-05,-0.7408063071318707,4.248498151962407e-06,0.8643351817206731
corrected,512,0.001953125,2.1237330189335957e-06,3.5217694507875903,5.393374932888421e-07,2.9776927026175937
