method,N,h,Einf,Einf_EOC,E2,E2_EOC
corrected,32,0.03125,0.00794650346837611,,0.0026297970934013163,
corrected,64,0.015625,0.003862481658103656,1.040792119411311,0.0011197707293309884,1.2317481163644095
corrected,128,0.0078125,0.0011461723222756515,1.7527041184152554,0.0003043785397957192,1.879264823437688
corrected,256,0.00390625,0.0012454536196784272,-0.11984733340213768,0.0003096339802441894,-0.024697161000545267
corrected,512,0.001953125,0.0003996665192813609,1.639802671038373,9.530425038390883e-05,1.6999513441648681
corrected,1024,0.0009765625,0.0004118521062039804,-0.04332964575955595,9.571088038866861e-05,-0.006142382282923372
corrected,2048,0.00048828125,0.0001811784851479814,1.1847147203937642,4.140862349302821e-05,1.2087516938575613
