epsilon,jump_scale,N,h,theta,standard_crossing_residual,corrected_crossing_residual,standard_Einf,corrected_Einf,Einf_gain_standard_over_corrected,standard_E2,corrected_E2,E2_gain_standard_over_corrected
-0.2,0.8,2048,0.00048828125,0.7599999999999909,-0.00019230252659996339,-3.8552526599958836e-05,1.6899367638600893e-07,9.583385018885338e-08,1.7634027648162351,4.2996066887510274e-08,2.722559600205036e-08,1.5792516308650226
-0.1,0.9,2048,0.00048828125,0.7599999999999909,-0.00019230252659996339,-1.933377659995829e-05,1.6899367638600893e-07,8.668887185869778e-08,1.9494275650681827,4.2996066887510274e-08,2.534340067794828e-08,1.6965389701991287
-0.05,0.95,2048,0.00048828125,0.7599999999999909,-0.00019230252659996339,-9.724401599958004e-06,1.6899367638600893e-07,8.211638236055308e-08,2.057977610898624,4.2996066887510274e-08,2.441527634937434e-08,1.761031342518967
-0.01,0.99,2048,0.00048828125,0.7599999999999909,-0.00019230252659996339,-2.03690159995777e-06,1.6899367638600893e-07,7.845839045117486e-08,2.153927392777382,4.2996066887510274e-08,2.3679933723601274e-08,1.8157173659931756
0.0,1.0,2048,0.00048828125,0.7599999999999909,-0.00019230252659996339,-1.1502659995771833e-07,1.6899367638600893e-07,7.754389308445298e-08,2.1793292761553524,4.2996066887510274e-08,2.349717076530692e-08,1.8298401674380758
0.01,1.01,2048,0.00048828125,0.7599999999999909,-0.00019230252659996339,1.8068484000423335e-06,1.6899367638600893e-07,7.662939527364188e-08,2.205337465897209,4.2996066887510274e-08,2.3314855728525614e-08,1.844148957563773
0.05,1.05,2048,0.00048828125,0.7599999999999909,-0.00019230252659996339,9.494348400042568e-06,1.6899367638600893e-07,7.297140314221906e-08,2.3158890895471114,4.2996066887510274e-08,2.2590302680009623e-08,1.9032975120584776
0.1,1.1,2048,0.00048828125,0.7599999999999909,-0.00019230252659996339,1.9103723400042854e-05,1.6899367638600893e-07,6.839891497634198e-08,2.4707069760457596,4.2996066887510274e-08,2.16960839172487e-08,1.9817432054329296
0.2,1.2,2048,0.00048828125,0.7599999999999909,-0.00019230252659996339,3.83224734000434e-05,1.6899367638600893e-07,5.9253936868230994e-08,2.8520244445836123,4.2996066887510274e-08,1.995237493837343e-08,2.154934789483032
