method,N,h,Einf,Einf_EOC,E2,E2_EOC
raw,32,0.03125,0.017288632216202693,,0.003940455648534705,
raw,64,0.015625,0.009445942701181487,0.8720570459251343,0.0018848916910852419,1.0638808368589214
raw,128,0.0078125,0.004953511107993469,0.9312432968673513,0.000912263927937343,1.0469584489385826
raw,256,0.00390625,0.002538827692991852,0.9642890028713232,0.00044705635625179335,1.028994562175403
raw,512,0.001953125,0.001285536526394404,0.9817918818818274,0.00022103002704723735,1.0162143362439546
raw,1024,0.0009765625,0.0006468779417747594,0.990805179048,0.00010985891337666639,1.0085904465954443
raw,2048,0.00048828125,0.0003244764912824216,0.995379561391735,5.4761283926616836e-05,1.0044237498640285
