method,N,h,Einf,Einf_EOC,E2,E2_EOC
standard,32,0.03125,0.017288632216202693,,0.003940455648534706,
standard,64,0.015625,0.009445942701181487,0.8720570459251343,0.0018848916910852416,1.063880836858922
standard,128,0.0078125,0.004953511107993469,0.9312432968673513,0.0009122639279373431,1.0469584489385821
standard,256,0.00390625,0.002538827692991852,0.9642890028713232,0.0004470563562517915,1.028994562175409
standard,512,0.001953125,0.001285536526394404,0.9817918818818274,0.00022103002704723637,1.016214336243955
standard,1024,0.0009765625,0.0006468779417747594,0.990805179048,0.0001098589133766659,1.0085904465954443
standard,2048,0.00048828125,0.0003244764912824216,0.995379561391735,5.476128392661643e-05,1.0044237498640325
