study,method,finest_h,finest_Einf,finest_Einf_EOC,finest_E2,finest_E2_EOC
benign,standard,0.00048828125,1.6899367638600893e-07,1.8151512438732762,4.2996066887271364e-08,1.8596569175849398
benign,corrected,0.00048828125,7.754389308445298e-08,2.349645536062425,2.3497170764970747e-08,2.260961298642716
severe,standard,0.00048828125,0.0002076676412843259,1.3529188846778653,2.8588038052690435e-05,1.5497356951504349
severe,corrected,0.00048828125,0.0001811784851479814,1.1847147203937642,4.1408623493028346e-05,1.208751693857557
aligned,standard,0.00048828125,0.0003244764912824216,0.995379561391735,5.476128392661643e-05,1.0044237498640325
aligned,restart,0.00048828125,0.0003244764912824216,0.995379561391735,7.273357966507237e-05,0.9989373764569482
pde,standard,0.001953125,0.001551240007953952,2.8039900103542816,0.00014221917559771434,2.8053464670640196
pde,corrected,0.001953125,0.002824878847035677,1.5562953980196004,0.0004163747783398485,1.6810897544467713
pde_benign,standard,0.001953125,2.0818015098901282e-05,1.7440579877283904,3.076784496008635e-06,1.8639345101397313
pde_benign,corrected,0.001953125,2.1237330189335957e-06,3.5217694507875903,5.393374932888421e-07,2.9776927026175937
fixed_theta_benign,standard,0.00031240237425804435,7.455750794527205e-08,1.9831007694742446,1.868200795824648e-08,1.9985953848563383
fixed_theta_benign,corrected,0.00031240237425804435,1.0785381476807743e-08,1.989954110848637,5.910602776278898e-09,1.9996575441629925
