N,h,crossing_index_k,theta,standard_Einf,standard_Einf_EOC,corrected_Einf,corrected_Einf_EOC,standard_E2,standard_E2_EOC,corrected_E2,corrected_E2_EOC,Einf_gain_standard_over_corrected,E2_gain_standard_over_corrected
101,0.009900990099009901,37,0.37000000000000033,6.056063368542475e-05,,9.610222035050242e-06,,1.8242155818580416e-05,,5.896223128419463e-06,,6.301689332936222,3.09387135141719
201,0.004975124378109453,74,0.3700000000000012,1.674296102205375e-05,1.8682015413108428,2.551715245768804e-06,1.926898612895206,4.67152959163597e-06,1.9794820009280518,1.4939104811475269e-06,1.9949810686200076,6.561453535936874,3.127047872405044
401,0.0024937655860349127,148,0.37000000000000055,4.442504984991658e-06,1.9210120983766492,6.606750413418183e-07,1.9564847612828742,1.1824657444725706e-06,1.9892444988444482,3.760189651251357e-07,1.9973935310268305,6.724190724639779,3.1446970874967883
801,0.0012484394506866417,296,0.3699999999999849,1.1523116767442332e-06,1.9503530298942862,1.6898885335514535e-07,1.970559751853963,2.9748709463712457e-07,1.9944894701101623,9.432629568087959e-08,1.9986711071198493,6.818862036554245,3.153808728411951
1601,0.0006246096189881324,592,0.3700000000000061,2.945745243287945e-07,1.969600711590983,4.281554177865132e-08,1.9825075239020375,7.460872123993616e-08,1.9972100639051553,2.3622040776371365e-08,1.999327477494639,6.880084009019248,3.158436730604822
3201,0.00031240237425804435,1184,0.36999999999994376,7.455750794527205e-08,1.9831007694742446,1.0785381476807743e-08,1.989954110848637,1.8682007957753233e-08,1.9985953848751905,5.910602775470443e-09,1.9996575442973745,6.912829936112708,3.160761882914095
