case,N,h,theta,residual,predicted_leading,difference,scaled_difference_over_h2
benign,32,0.03125,0.8399999999999999,-0.009262689409297975,-0.00880000000000001,-0.0004626894092979658,-0.473793955121117
benign,64,0.015625,0.6799999999999997,-0.007717029978164147,-0.007600000000000004,-0.00011702997816414283,-0.47935479056032904
benign,128,0.0078125,0.35999999999999943,-0.005229429058265067,-0.005200000000000001,-2.942905826506647e-05,-0.48216569061484904
benign,256,0.00390625,0.7199999999999989,-0.0017354750601166202,-0.0017281250000000053,-7.350060116614963e-06,-0.4816935398024782
benign,512,0.001953125,0.4399999999999977,-0.0012705902073841813,-0.0012687500000000014,-1.840207384179839e-06,-0.4823993245184397
benign,1024,0.0009765625,0.8799999999999955,-0.00021374118937034225,-0.0002132812500000073,-4.5993937033495316e-07,-0.48228138518834385
benign,2048,0.00048828125,0.7599999999999909,-0.00019230252659996339,-0.00019218750000000567,-1.1502659995771833e-07,-0.48245652830905783
