N,h,theta,standard_crossing_residual,restart_crossing_residual,corrected_crossing_residual,local_residual_gain_abs,standard_Einf,standard_E2,restart_Einf,restart_E2,corrected_Einf,corrected_E2,restart_minus_standard_crossing_residual,corrected_vs_standard_Einf_gain,corrected_vs_restart_Einf_gain,standard_Einf_EOC,standard_E2_EOC,restart_Einf_EOC,restart_E2_EOC,corrected_Einf_EOC,corrected_E2_EOC
32,0.03125,0.8399999999999999,-0.009262689409297975,-0.009262689409297975,-0.0004626894092979658,20.019238009688106,0.0003998051576763473,0.00015153209810331894,0.00019226196343269386,6.597424218523587e-05,0.0002537343437520878,0.00010321978530826957,0.0,1.5756840471977203,0.7577293660354635,,,,,,
64,0.015625,0.6799999999999997,-0.007717029978164147,-0.007717029978164147,-0.00011702997816414283,65.94062563474519,0.0001348396205356206,4.3654257896919795e-05,8.20712735403184e-05,2.3781824184945523e-05,5.193628422461849e-05,2.0937277669159905e-05,0.0,2.5962508205718886,1.5802299830571154,1.5680526112317654,1.7954291415026633,1.2281241265767704,1.4720434928360338,2.288504100617062,2.301573759189231
128,0.0078125,0.35999999999999943,-0.005229429058265067,-0.005229429058265067,-2.942905826506647e-05,177.69610604470546,3.903669226668072e-05,1.1391692651960458e-05,2.8363570300005136e-05,7.639851148529567e-06,5.927015685580628e-06,3.6467414286431853e-06,0.0,6.58623063233155,4.7854724543767695,1.788341754485916,1.9381402485771044,1.5328381954228683,1.638242946441076,3.131365019609691,2.5213940562508137
256,0.00390625,0.7199999999999989,-0.0017354750601166202,-0.0017354750601166202,-7.350060116614963e-06,236.1171245652186,1.0091115055343991e-05,2.781014603116872e-06,5.0416087076232685e-06,1.4899089553791636e-06,4.169492235028827e-06,1.4089120945300256e-06,0.0,2.4202263696683017,1.2091661102681996,1.9517452136086013,2.034298902594508,2.492083088720603,2.3583203558200414,0.5074341740287455,1.3720263081575945
512,0.001953125,0.4399999999999977,-0.0012705902073841813,-0.0012705902073841813,-1.840207384179839e-06,690.4603352357865,2.812322639433873e-06,7.372737611738342e-07,1.7950792710053065e-06,4.826574877892043e-07,5.094384301074228e-07,2.4613741313028843e-07,0.0,5.520436765716422,3.5236432214718993,1.8432515792043414,1.9153390013597245,1.4898365961105238,1.626152508193504,3.032892001224905,2.5170457305348815
1024,0.0009765625,0.8799999999999955,-0.00021374118937034225,-0.00021374118937034225,-4.5993937033495316e-07,464.71601075307854,5.946828649516789e-07,1.560419050052681e-07,1.7903460114432335e-07,6.859975502563712e-08,3.952404512563845e-07,1.1262446553982004e-07,0.0,1.504610327868288,0.4529764111320357,2.241569702938203,2.2402668974024254,3.3257372129285554,2.814724431020129,0.366177186709589,1.1279437058016337
2048,0.00048828125,0.7599999999999909,-0.00019230252659996339,-0.00019230252659996339,-1.1502659995771833e-07,1671.8091873588394,1.6899367638600893e-07,4.2996066887510274e-08,7.263398393853038e-08,2.223422348804517e-08,7.754389308445298e-08,2.349717076530692e-08,0.0,2.1793292761553524,0.9366821944240635,1.8151512438732762,1.8596569175779867,1.3015218186128077,1.6254214038133887,2.349645536062425,2.26096129862376
