method,N,h,Einf,Einf_EOC,E2,E2_EOC
raw,32,0.03125,0.0019628017337812403,,0.00048626718601307666,
raw,64,0.015625,0.0007641508300104114,1.3609851166278992,0.00015975849788104946,1.6058565666793103
raw,128,0.0078125,0.00025061755181789,1.6083699728441345,4.509105016418682e-05,1.8249796574684247
raw,256,0.00390625,6.973536648848359e-05,1.8455250426197394,1.1199464976207257e-05,2.00941129740903
raw,512,0.001953125,2.081801509840838e-05,1.7440579876776616,3.076784494464424e-06,1.8639345106991463
