method,N,h,Einf,Einf_EOC,E2,E2_EOC
corrected,32,0.03125,0.04147947724497478,,0.0101717328726495,
corrected,64,0.015625,0.021054189561958366,0.9782903693809604,0.004557523091649161,1.158243608850299
corrected,128,0.0078125,0.0072105604238436385,1.5459240439615987,0.0012871968469232722,1.8240172688026077
corrected,256,0.00390625,0.008307903120277961,-0.20437299889285634,0.0013351893389664394,-0.05281164323091301
corrected,512,0.001953125,0.0028248788470388495,1.5562953980184635,0.0004163747783400309,1.681089754445179
