method,N,h,Einf,Einf_EOC,E2,E2_EOC
standard,32,0.03125,0.0003998051576763473,,0.00015153209810331894,
standard,64,0.015625,0.0001348396205356206,1.5680526112317654,4.36542578969198e-05,1.795429141502663
standard,128,0.0078125,3.903669226668072e-05,1.788341754485916,1.1391692651960847e-05,1.9381402485770551
standard,256,0.00390625,1.0091115055343991e-05,1.9517452136086013,2.7810146031165626e-06,2.034298902594718
standard,512,0.001953125,2.812322639433873e-06,1.8432515792043414,7.372737611736821e-07,1.9153390013598612
standard,1024,0.0009765625,5.946828649516789e-07,2.241569702938203,1.560419050051531e-07,2.240266897403191
standard,2048,0.00048828125,1.6899367638600893e-07,1.8151512438732762,4.2996066887271364e-08,1.8596569175849398
