J,dimension,N,standard_Einf,corrected_Einf,Einf_gain_standard_over_corrected,standard_E2,corrected_E2,E2_gain_standard_over_corrected,standard_median_seconds,corrected_median_seconds,runtime_ratio_corrected_over_standard
160,159,128,0.00025061755181789,1.4596651614859996e-05,17.169523424314036,4.509105016418682e-05,7.734393249131037e-06,5.829940204973781,0.006771999993361533,0.0048614999977871776,0.717882457553576
640,639,128,0.0005012317524642856,2.919356624631562e-05,17.169253945723185,9.018067431013305e-05,1.5468503687301552e-05,5.829954605380767,0.0069472999894060194,0.0054376000189222395,0.7826925607378505
2560,2559,128,0.0010024631032588894,5.838716723251984e-05,17.169236850739843,0.000180361170504304,3.093697550267052e-05,5.8299548541432245,0.013976300018839538,0.012891699967440218,0.9223971974029379
